name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classification,defense,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,70,295,225,Dragon,70,0.4,30,50,116,70,25,60,water,,8,1,0
Seadra,"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,440,75,Dragon,95,1.2,55,50,117,95,45,85,water,,25,1,0
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,70,320,225,Goldfish,60,0.6,45,50,118,35,50,63,water,,15,1,0
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,70,450,60,Goldfish,65,1.3,80,50,119,65,80,68,water,,39,1,0
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,70,340,225,Starshape,55,0.8,30,,120,70,55,85,water,,34.5,1,0
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,70,520,60,Mysterious,85,1.1,60,,121,100,85,115,water,psychic,80,1,0
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,70,460,45,Barrier,65,1.3,40,50,122,100,120,90,psychic,fairy,54.5,1,0
Scyther,"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,70,500,45,Mantis,80,1.5,70,50,123,55,80,105,bug,flying,56,1,0
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,70,455,45,Humanshape,35,1.4,65,0,124,115,95,95,ice,psychic,40.6,1,0
Electabuzz,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,70,490,45,Electric,57,1.1,65,75.4,125,95,85,105,electric,,30,1,0
Magmar,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,70,495,45,Spitfire,57,1.3,65,75.4,126,100,85,93,fire,,44.5,1,0
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,70,600,45,Stagbeetle,120,1.5,65,50,127,65,90,105,bug,,55,1,0
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,70,490,45,Wild Bull,95,1.4,75,100,128,40,70,110,normal,,88.4,1,0
Magikarp,"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,70,200,255,Fish,55,0.9,20,50,129,15,20,80,water,,10,1,0
Gyarados,"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,70,640,45,Atrocious,109,6.5,95,50,130,70,130,81,water,flying,235,1,0
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,70,535,45,Transport,80,2.5,130,50,131,85,95,60,water,ice,220,1,0
Ditto,"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,70,288,35,Transform,48,0.3,48,,132,48,48,48,normal,,4,1,0
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,70,325,45,Evolution,50,0.3,55,88.1,133,45,65,55,normal,,6.5,1,0
Vaporeon,"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,525,45,Bubble Jet,60,1,130,88.1,134,110,95,65,water,,29,1,0
Jolteon,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,70,525,45,Lightning,60,0.8,65,88.1,135,110,95,130,electric,,24.5,1,0
Flareon,"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,130,70,525,45,Flame,60,0.9,65,88.1,136,95,110,65,fire,,25,1,0
Porygon,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,70,395,45,Virtual,70,0.8,65,,137,85,75,40,normal,,36.5,1,0
Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,40,70,355,45,Spiral,100,0.4,35,88.1,138,90,55,35,rock,water,7.5,1,0
Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,60,70,495,45,Spiral,125,1,70,88.1,139,115,70,55,rock,water,35,1,0
Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,70,355,45,Shellfish,90,0.5,30,88.1,140,55,45,55,rock,water,11.5,1,0
Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,115,70,495,45,Shellfish,105,1.3,60,88.1,141,65,70,80,rock,water,40.5,1,0
Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,135,70,615,45,Fossil,85,1.8,80,88.1,142,70,95,150,rock,flying,59,1,0
Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,70,540,25,Sleeping,65,2.1,160,88.1,143,65,110,30,normal,,460,1,0
Articuno,"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,35,580,3,Freeze,100,1.7,90,,144,95,125,85,ice,flying,55.4,1,1
Zapdos,"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,90,35,580,3,Electric,85,1.6,90,,145,125,90,100,electric,flying,52.6,1,1
Moltres,"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,100,35,580,3,Flame,90,2,90,,146,125,85,90,fire,flying,60,1,1
Dratini,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,35,300,45,Dragon,45,1.8,41,50,147,50,50,50,dragon,,3.3,1,0
Dragonair,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,84,35,420,45,Dragon,65,4,61,50,148,70,70,70,dragon,,16.5,1,0
Dragonite,"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,134,35,600,45,Dragon,95,2.2,91,50,149,100,100,80,dragon,flying,210,1,0
Mewtwo,"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,150,0,780,3,Genetic,70,2,106,,150,194,120,140,psychic,,122,1,1
Mew,['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,100,600,45,New Species,100,0.4,100,,151,100,100,100,psychic,,4,1,1
Chikorita,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,49,70,318,45,Leaf,65,0.9,45,88.1,152,49,65,45,grass,,6.4,2,0
Bayleef,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,70,405,45,Leaf,80,1.2,60,88.1,153,63,80,60,grass,,15.8,2,0
Meganium,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,82,70,525,45,Herb,100,1.8,80,88.1,154,83,100,80,grass,,100.5,2,0
Cyndaquil,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,70,309,45,Fire Mouse,43,0.5,39,88.1,155,60,50,65,fire,,7.9,2,0
Quilava,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,70,405,45,Volcano,58,0.9,58,88.1,156,80,65,80,fire,,19,2,0
Typhlosion,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,84,70,534,45,Volcano,78,1.7,78,88.1,157,109,85,100,fire,,79.5,2,0
Totodile,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,314,45,Big Jaw,64,0.6,50,88.1,158,44,48,43,water,,9.5,2,0
Croconaw,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,70,405,45,Big Jaw,80,1.1,65,88.1,159,59,63,58,water,,25,2,0
Feraligatr,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,70,530,45,Big Jaw,100,2.3,85,88.1,160,79,83,78,water,,88.8,2,0
Sentret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,46,70,215,255,Scout,34,0.8,35,50,161,35,45,20,normal,,6,2,0
Furret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,70,415,90,Long Body,64,1.8,85,50,162,45,55,90,normal,,32.5,2,0
Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,70,262,255,Owl,30,0.7,60,50,163,36,56,50,normal,flying,21.2,2,0
Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,70,452,90,Owl,50,1.6,100,50,164,86,96,70,normal,flying,40.8,2,0
Ledyba,"['Swarm', 'Early Bird', 'Rattled']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,20,70,265,255,Five Star,30,1,40,50,165,40,80,55,bug,flying,10.8,2,0
Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,35,70,390,90,Five Star,50,1.4,55,50,166,55,110,85,bug,flying,35.6,2,0
Spinarak,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,70,250,255,String Spit,40,0.5,40,50,167,40,40,30,bug,poison,8.5,2,0
Ariados,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,70,400,90,Long Leg,70,1.1,70,50,168,60,70,40,bug,poison,33.5,2,0
Crobat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,90,70,535,90,Bat,80,1.8,85,50,169,70,80,130,poison,flying,75,2,0
Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,38,70,330,190,Angler,38,0.5,75,50,170,56,56,67,water,electric,12,2,0
Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,58,70,460,75,Light,58,1.2,125,50,171,76,76,67,water,electric,22.5,2,0
Pichu,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,70,205,190,Tiny Mouse,15,0.3,20,50,172,35,35,60,electric,,2,2,0
Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,140,218,150,Star Shape,28,0.3,50,24.6,173,45,55,15,fairy,,3,2,0
Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,30,70,210,170,Balloon,15,0.3,90,24.6,174,40,20,15,normal,fairy,1,2,0
Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,70,245,190,Spike Ball,65,0.3,35,88.1,175,40,65,20,fairy,,1.5,2,0
Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,40,70,405,75,Happiness,85,0.6,55,88.1,176,80,105,40,fairy,flying,3.2,2,0
Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,70,320,190,Little Bird,45,0.2,40,50,177,70,45,70,psychic,flying,2,2,0
Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,75,70,470,75,Mystic,70,1.5,65,50,178,95,70,95,psychic,flying,15,2,0
Mareep,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,70,280,235,Wool,40,0.6,55,50,179,65,45,35,electric,,7.8,2,0
Flaaffy,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,70,365,120,Wool,55,0.8,70,50,180,80,60,45,electric,,13.3,2,0
Ampharos,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,70,610,45,Light,105,1.4,90,50,181,165,110,45,electric,,61.5,2,0
Bellossom,"['Chlorophyll', 'Healer']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,70,490,45,Flower,95,0.4,75,50,182,90,100,50,grass,,5.8,2,0
Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,20,70,250,190,Aquamouse,50,0.4,70,50,183,20,50,40,water,fairy,8.5,2,0
Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,70,420,75,Aquarabbit,80,0.8,100,50,184,60,80,50,water,fairy,28.5,2,0
Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,70,410,65,Imitation,115,1.2,70,50,185,30,65,30,rock,,38,2,0
Politoed,"['Water Absorb', 'Damp', 'Drizzle']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,70,500,45,Frog,75,1.1,90,50,186,90,100,70,water,,33.9,2,0
Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,35,70,250,255,Cottonweed,40,0.4,35,50,187,35,55,50,grass,flying,0.5,2,0
Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,70,340,120,Cottonweed,50,0.6,55,50,188,45,65,80,grass,flying,1,2,0
Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,70,460,45,Cottonweed,70,0.8,75,50,189,55,95,110,grass,flying,3,2,0
Aipom,"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,70,360,45,Long Tail,55,0.8,55,50,190,40,55,85,normal,,11.5,2,0
Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,70,180,235,Seed,30,0.3,30,50,191,30,30,30,grass,,1.8,2,0
Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,70,425,120,Sun,55,0.8,75,50,192,105,85,30,grass,,8.5,2,0
Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,70,390,75,Clear Wing,45,1.2,65,50,193,75,45,95,bug,flying,38,2,0
Wooper,"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,70,210,255,Water Fish,45,0.4,55,50,194,25,25,15,water,ground,8.5,2,0
Quagsire,"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,70,430,90,Water Fish,85,1.4,95,50,195,65,65,35,water,ground,75,2,0
Espeon,"['Synchronize', 'Magic Bounce']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,70,525,45,Sun,60,0.9,65,88.1,196,130,95,110,psychic,,26.5,2,0
Umbreon,"['Synchronize', 'Inner Focus']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,35,525,45,Moonlight,110,1,95,88.1,197,60,130,65,dark,,27,2,0
Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,35,405,30,Darkness,42,0.5,60,50,198,85,42,91,dark,flying,2.1,2,0
Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,70,490,70,Royal,80,2,95,50,199,100,110,30,water,psychic,79.5,2,0
Misdreavus,['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,35,435,45,Screech,60,0.7,60,50,200,85,85,85,ghost,,1,2,0
Unown,['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,70,336,225,Symbol,48,0.5,48,,201,72,48,48,psychic,,5,2,0
Wobbuffet,"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,70,405,45,Patient,58,1.3,190,50,202,33,58,33,psychic,,28.5,2,0
Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,70,455,60,Long Neck,65,1.5,70,50,203,90,65,85,normal,psychic,41.5,2,0
Pineco,"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,70,290,190,Bagworm,90,0.6,50,50,204,35,35,15,bug,,7.2,2,0
Forretress,"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,70,465,75,Bagworm,140,1.2,75,50,205,60,60,40,bug,steel,125.8,2,0
Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,70,415,190,Land Snake,70,1.5,100,50,206,65,65,45,normal,,14,2,0
Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,70,430,60,Flyscorpion,105,1.1,65,50,207,35,65,85,ground,flying,64.8,2,0
Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,70,610,25,Iron Snake,230,9.2,75,50,208,55,95,30,steel,ground,400,2,0
Snubbull,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,70,300,190,Fairy,50,0.6,60,24.6,209,40,40,30,fairy,,7.8,2,0
Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,70,450,75,Fairy,75,1.4,90,24.6,210,60,60,45,fairy,,48.7,2,0
Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,70,440,45,Balloon,85,0.5,65,50,211,55,55,85,water,poison,3.9,2,0
Scizor,"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,70,600,25,Pincer,140,1.8,70,50,212,65,100,75,bug,steel,118,2,0
Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,70,505,190,Mold,230,0.6,20,50,213,10,230,5,bug,rock,20.5,2,0
Heracross,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,70,600,45,Singlehorn,115,1.5,80,50,214,40,105,75,bug,fighting,54,2,0
Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,35,430,60,Sharp Claw,55,0.9,55,50,215,35,75,115,dark,ice,28,2,0
Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,70,330,120,Little Bear,50,0.6,60,50,216,50,50,40,normal,,8.8,2,0
Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,70,500,60,Hibernator,75,1.8,90,50,217,75,75,55,normal,,125.8,2,0
Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,70,250,190,Lava,40,0.7,40,50,218,70,40,20,fire,,35,2,0
Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,70,430,75,Lava,120,0.8,60,50,219,90,80,30,fire,rock,55,2,0
Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,70,250,225,Pig,40,0.4,50,50,220,30,30,50,ice,ground,6.5,2,0
Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,70,450,75,Swine,80,1.1,100,50,221,60,60,50,ice,ground,55.8,2,0
Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,70,410,60,Coral,95,0.6,65,24.6,222,65,95,35,water,rock,5,2,0
Remoraid,"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,300,190,Jet,35,0.6,35,50,223,65,35,65,water,,12,2,0
Octillery,"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,70,480,75,Jet,75,0.9,75,50,224,105,75,45,water,,28.5,2,0
Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,70,330,45,Delivery,45,0.9,45,50,225,65,45,75,ice,flying,16,2,0
Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,70,485,25,Kite,70,2.1,85,50,226,80,140,70,water,flying,220,2,0
Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,70,465,25,Armor Bird,140,1.7,65,50,227,40,70,70,steel,flying,50.5,2,0
Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,35,330,120,Dark,30,0.6,45,50,228,80,50,65,dark,fire,10.8,2,0
Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,35,600,45,Dark,90,1.4,75,50,229,140,90,115,dark,fire,35,2,0
Kingdra,"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,70,540,45,Dragon,95,1.8,75,50,230,95,95,85,water,dragon,152,2,0
Phanpy,"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,70,330,120,Long Nose,60,0.5,90,50,231,40,40,40,ground,,33.5,2,0
Donphan,"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,70,500,60,Armor,120,1.1,90,50,232,60,60,50,ground,,120,2,0
Porygon2,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,70,515,45,Virtual,90,0.6,85,,233,105,95,60,normal,,32.5,2,0
Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,70,465,45,Big Horn,62,1.4,73,50,234,85,65,85,normal,,71.2,2,0
Smeargle,"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,70,250,45,Painter,35,1.2,55,50,235,20,45,75,normal,,58,2,0
